Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,7,0,0.30435,0.55853,0.30435,0.30435,0.30435,0.69456,0.10143,0.35321,0.4645,0.27628,0.33844,0.31005,0.83791
Label Propagation,False,7,1,0.30435,0.55853,0.30435,0.30435,0.30435,0.69456,0.10143,0.35321,0.4645,0.27628,0.33844,0.31005,0.77806
Label Propagation,False,7,2,0.30435,0.55853,0.30435,0.30435,0.30435,0.69456,0.10143,0.35321,0.4645,0.27628,0.33844,0.31005,0.61712
Label Propagation,False,7,3,0.30435,0.55853,0.30435,0.30435,0.30435,0.69456,0.10143,0.35321,0.4645,0.27628,0.33844,0.31005,0.73524
Label Propagation,False,7,4,0.30435,0.55853,0.30435,0.30435,0.30435,0.69456,0.10143,0.35321,0.4645,0.27628,0.33844,0.31005,0.76566
Label Propagation,False,7,5,0.30435,0.55853,0.30435,0.30435,0.30435,0.69456,0.10143,0.35321,0.4645,0.27628,0.33844,0.31005,0.80955
Label Propagation,False,7,6,0.30435,0.55853,0.30435,0.30435,0.30435,0.69456,0.10143,0.35321,0.4645,0.27628,0.33844,0.31005,0.72999
Label Propagation,False,7,7,0.30435,0.55853,0.30435,0.30435,0.30435,0.69456,0.10143,0.35321,0.4645,0.27628,0.33844,0.31005,0.79987
Label Propagation,False,7,8,0.30435,0.55853,0.30435,0.30435,0.30435,0.69456,0.10143,0.35321,0.4645,0.27628,0.33844,0.31005,0.85094
Label Propagation,False,7,9,0.30435,0.55853,0.30435,0.30435,0.30435,0.69456,0.10143,0.35321,0.4645,0.27628,0.33844,0.31005,0.94319
Label Propagation,False,9,0,0.45485,0.45485,0.45485,0.45485,0.45485,0.39553,0.03064,0.42339,0.57193,0.04261,0.0522,0.07743,0.94123
Label Propagation,False,9,1,0.45485,0.45485,0.45485,0.45485,0.45485,0.39553,0.03064,0.42339,0.57193,0.04261,0.0522,0.07743,1.04296
Label Propagation,False,9,2,0.45485,0.45485,0.45485,0.45485,0.45485,0.39553,0.03064,0.42339,0.57193,0.04261,0.0522,0.07743,0.90524
Label Propagation,False,9,3,0.45485,0.45485,0.45485,0.45485,0.45485,0.39553,0.03064,0.42339,0.57193,0.04261,0.0522,0.07743,0.79619
Label Propagation,False,9,4,0.45485,0.45485,0.45485,0.45485,0.45485,0.39553,0.03064,0.42339,0.57193,0.04261,0.0522,0.07743,0.81601
Label Propagation,False,9,5,0.45485,0.45485,0.45485,0.45485,0.45485,0.39553,0.03064,0.42339,0.57193,0.04261,0.0522,0.07743,1.04554
Label Propagation,False,9,6,0.45485,0.45485,0.45485,0.45485,0.45485,0.39553,0.03064,0.42339,0.57193,0.04261,0.0522,0.07743,0.95705
Label Propagation,False,9,7,0.45485,0.45485,0.45485,0.45485,0.45485,0.39553,0.03064,0.42339,0.57193,0.04261,0.0522,0.07743,0.89644
Label Propagation,False,9,8,0.45485,0.45485,0.45485,0.45485,0.45485,0.39553,0.03064,0.42339,0.57193,0.04261,0.0522,0.07743,1.06096
Label Propagation,False,9,9,0.45485,0.45485,0.45485,0.45485,0.45485,0.39553,0.03064,0.42339,0.57193,0.04261,0.0522,0.07743,0.8743
Label Propagation,False,11,0,0.42809,0.55184,0.42809,0.42809,0.42809,0.33508,0.04526,0.34035,0.52793,0.12566,0.15394,0.18356,0.86846
Label Propagation,False,11,1,0.42809,0.55184,0.42809,0.42809,0.42809,0.33508,0.04526,0.34035,0.52793,0.12566,0.15394,0.18356,0.88349
Label Propagation,False,11,2,0.42809,0.55184,0.42809,0.42809,0.42809,0.33508,0.04526,0.34035,0.52793,0.12566,0.15394,0.18356,0.78826
Label Propagation,False,11,3,0.42809,0.55184,0.42809,0.42809,0.42809,0.33508,0.04526,0.34035,0.52793,0.12566,0.15394,0.18356,0.76562
Label Propagation,False,11,4,0.42809,0.55184,0.42809,0.42809,0.42809,0.33508,0.04526,0.34035,0.52793,0.12566,0.15394,0.18356,0.85142
Label Propagation,False,11,5,0.42809,0.55184,0.42809,0.42809,0.42809,0.33508,0.04526,0.34035,0.52793,0.12566,0.15394,0.18356,0.86611
Label Propagation,False,11,6,0.42809,0.55184,0.42809,0.42809,0.42809,0.33508,0.04526,0.34035,0.52793,0.12566,0.15394,0.18356,1.1019
Label Propagation,False,11,7,0.42809,0.55184,0.42809,0.42809,0.42809,0.33508,0.04526,0.34035,0.52793,0.12566,0.15394,0.18356,1.15941
