Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,15,0,0.225,0.234,0.225,0.225,0.225,1.685,0.039,0.295,0.228,0.143,0.368,0.193,150.11674404144287
Label Propagation,False,15,1,0.225,0.234,0.225,0.225,0.225,1.685,0.039,0.295,0.228,0.143,0.368,0.193,151.58308720588684
Label Propagation,False,15,2,0.225,0.234,0.225,0.225,0.225,1.685,0.039,0.295,0.228,0.143,0.368,0.193,149.06144762039185
Label Propagation,False,15,3,0.225,0.234,0.225,0.225,0.225,1.685,0.039,0.295,0.228,0.143,0.368,0.193,149.42574214935303
Label Propagation,False,15,4,0.225,0.234,0.225,0.225,0.225,1.685,0.039,0.295,0.228,0.143,0.368,0.193,149.42094135284427
Label Propagation,False,15,5,0.225,0.234,0.225,0.225,0.225,1.685,0.039,0.295,0.228,0.143,0.368,0.193,149.13296723365784
Label Propagation,False,15,6,0.225,0.234,0.225,0.225,0.225,1.685,0.039,0.295,0.228,0.143,0.368,0.193,148.35492753982544
Label Propagation,False,15,7,0.225,0.234,0.225,0.225,0.225,1.685,0.039,0.295,0.228,0.143,0.368,0.193,150.36421227455142
Label Propagation,False,15,8,0.225,0.234,0.225,0.225,0.225,1.685,0.039,0.295,0.228,0.143,0.368,0.193,148.03682637214658
Label Propagation,False,15,9,0.225,0.234,0.225,0.225,0.225,1.685,0.039,0.295,0.228,0.143,0.368,0.193,148.98334193229675
Label Propagation,False,17,0,0.202,0.233,0.202,0.202,0.202,1.744,0.04,0.318,0.232,0.153,0.392,0.207,159.63401198387146
Label Propagation,False,17,1,0.202,0.233,0.202,0.202,0.202,1.744,0.04,0.318,0.232,0.153,0.392,0.207,164.08082818984983
Label Propagation,False,17,2,0.202,0.233,0.202,0.202,0.202,1.744,0.04,0.318,0.232,0.153,0.392,0.207,159.03815960884094
Label Propagation,False,17,3,0.202,0.233,0.202,0.202,0.202,1.744,0.04,0.318,0.232,0.153,0.392,0.207,158.68485307693481
Label Propagation,False,17,4,0.202,0.233,0.202,0.202,0.202,1.744,0.04,0.318,0.232,0.153,0.392,0.207,159.04771447181705
Label Propagation,False,17,5,0.202,0.233,0.202,0.202,0.202,1.744,0.04,0.318,0.232,0.153,0.392,0.207,156.4848909378052
Label Propagation,False,17,6,0.202,0.233,0.202,0.202,0.202,1.744,0.04,0.318,0.232,0.153,0.392,0.207,157.3156039714813
Label Propagation,False,17,7,0.202,0.233,0.202,0.202,0.202,1.744,0.04,0.318,0.232,0.153,0.392,0.207,157.39735841751101
Label Propagation,False,17,8,0.202,0.233,0.202,0.202,0.202,1.744,0.04,0.318,0.232,0.153,0.392,0.207,157.58091187477112
Label Propagation,False,17,9,0.202,0.233,0.202,0.202,0.202,1.744,0.04,0.318,0.232,0.153,0.392,0.207,153.27393722534183
Label Propagation,False,19,0,0.216,0.24,0.216,0.216,0.216,1.847,0.037,0.357,0.237,0.167,0.427,0.227,160.4485418796539
Label Propagation,False,19,1,0.216,0.24,0.216,0.216,0.216,1.847,0.037,0.357,0.237,0.167,0.427,0.227,159.5279076099396
Label Propagation,False,19,2,0.216,0.24,0.216,0.216,0.216,1.847,0.037,0.357,0.237,0.167,0.427,0.227,160.30676579475403
Label Propagation,False,19,3,0.216,0.24,0.216,0.216,0.216,1.847,0.037,0.357,0.237,0.167,0.427,0.227,154.6334171295166
Label Propagation,False,19,4,0.216,0.24,0.216,0.216,0.216,1.847,0.037,0.357,0.237,0.167,0.427,0.227,163.9017381668091
Label Propagation,False,19,5,0.216,0.24,0.216,0.216,0.216,1.847,0.037,0.357,0.237,0.167,0.427,0.227,158.58599519729609
Label Propagation,False,19,6,0.216,0.24,0.216,0.216,0.216,1.847,0.037,0.357,0.237,0.167,0.427,0.227,161.67720198631287
Label Propagation,False,19,7,0.216,0.24,0.216,0.216,0.216,1.847,0.037,0.357,0.237,0.167,0.427,0.227,158.11589217185974
Label Propagation,False,19,8,0.216,0.24,0.216,0.216,0.216,1.847,0.037,0.357,0.237,0.167,0.427,0.227,163.47807693481442
Label Propagation,False,19,9,0.216,0.24,0.216,0.216,0.216,1.847,0.037,0.357,0.237,0.167,0.427,0.227,166.6557114124298
Label Propagation,False,21,0,0.19,0.195,0.19,0.19,0.19,2.795,0.02,0.552,0.267,0.13,0.333,0.21,264.8132305145264
Label Propagation,False,21,1,0.19,0.195,0.19,0.19,0.19,2.795,0.02,0.552,0.267,0.13,0.333,0.21,262.87098145484924
Label Propagation,False,21,2,0.19,0.195,0.19,0.19,0.19,2.795,0.02,0.552,0.267,0.13,0.333,0.21,259.2343246936798
