Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,15,0,0.22538,0.23385,0.22538,0.22538,0.22538,1.68475,0.03912,0.29511,0.22817,0.14339,0.36779,0.193,150.11674
Label Propagation,False,15,1,0.22538,0.23385,0.22538,0.22538,0.22538,1.68475,0.03912,0.29511,0.22817,0.14339,0.36779,0.193,151.58309
Label Propagation,False,15,2,0.22538,0.23385,0.22538,0.22538,0.22538,1.68475,0.03912,0.29511,0.22817,0.14339,0.36779,0.193,149.06145
Label Propagation,False,15,3,0.22538,0.23385,0.22538,0.22538,0.22538,1.68475,0.03912,0.29511,0.22817,0.14339,0.36779,0.193,149.42574
Label Propagation,False,15,4,0.22538,0.23385,0.22538,0.22538,0.22538,1.68475,0.03912,0.29511,0.22817,0.14339,0.36779,0.193,149.42094
Label Propagation,False,15,5,0.22538,0.23385,0.22538,0.22538,0.22538,1.68475,0.03912,0.29511,0.22817,0.14339,0.36779,0.193,149.13297
Label Propagation,False,15,6,0.22538,0.23385,0.22538,0.22538,0.22538,1.68475,0.03912,0.29511,0.22817,0.14339,0.36779,0.193,148.35493
Label Propagation,False,15,7,0.22538,0.23385,0.22538,0.22538,0.22538,1.68475,0.03912,0.29511,0.22817,0.14339,0.36779,0.193,150.36421
Label Propagation,False,15,8,0.22538,0.23385,0.22538,0.22538,0.22538,1.68475,0.03912,0.29511,0.22817,0.14339,0.36779,0.193,148.03683
Label Propagation,False,15,9,0.22538,0.23385,0.22538,0.22538,0.22538,1.68475,0.03912,0.29511,0.22817,0.14339,0.36779,0.193,148.98334
Label Propagation,False,17,0,0.202,0.23323,0.202,0.202,0.202,1.74425,0.04008,0.31839,0.23247,0.15293,0.39226,0.20662,159.63401
Label Propagation,False,17,1,0.202,0.23323,0.202,0.202,0.202,1.74425,0.04008,0.31839,0.23247,0.15293,0.39226,0.20662,164.08083
Label Propagation,False,17,2,0.202,0.23323,0.202,0.202,0.202,1.74425,0.04008,0.31839,0.23247,0.15293,0.39226,0.20662,159.03816
