Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,13,0,0.16601,0.29379,0.16601,0.16601,0.16601,1.55521,-0.00334,0.15462,0.36948,0.0553,0.09257,0.08146,25.04332
Label Propagation,False,13,1,0.16601,0.29379,0.16601,0.16601,0.16601,1.55521,-0.00334,0.15462,0.36948,0.0553,0.09257,0.08146,24.50589
Label Propagation,False,13,2,0.16601,0.29379,0.16601,0.16601,0.16601,1.55521,-0.00334,0.15462,0.36948,0.0553,0.09257,0.08146,24.65979
Label Propagation,False,13,3,0.16601,0.29379,0.16601,0.16601,0.16601,1.55521,-0.00334,0.15462,0.36948,0.0553,0.09257,0.08146,27.55353
Label Propagation,False,13,4,0.16601,0.29379,0.16601,0.16601,0.16601,1.55521,-0.00334,0.15462,0.36948,0.0553,0.09257,0.08146,26.16299
Label Propagation,False,13,5,0.16601,0.29379,0.16601,0.16601,0.16601,1.55521,-0.00334,0.15462,0.36948,0.0553,0.09257,0.08146,24.86089
Label Propagation,False,13,6,0.16601,0.29379,0.16601,0.16601,0.16601,1.55521,-0.00334,0.15462,0.36948,0.0553,0.09257,0.08146,25.04263
Label Propagation,False,13,7,0.16601,0.29379,0.16601,0.16601,0.16601,1.55521,-0.00334,0.15462,0.36948,0.0553,0.09257,0.08146,26.98441
Label Propagation,False,13,8,0.16601,0.29379,0.16601,0.16601,0.16601,1.55521,-0.00334,0.15462,0.36948,0.0553,0.09257,0.08146,24.6481
Label Propagation,False,13,9,0.16601,0.29379,0.16601,0.16601,0.16601,1.55521,-0.00334,0.15462,0.36948,0.0553,0.09257,0.08146,23.19056
Label Propagation,False,15,0,0.12907,0.29031,0.12907,0.12907,0.12907,1.5391,-0.00036,0.14954,0.38406,0.04665,0.0781,0.07112,25.1575
Label Propagation,False,15,1,0.12907,0.29031,0.12907,0.12907,0.12907,1.5391,-0.00036,0.14954,0.38406,0.04665,0.0781,0.07112,27.96601
Label Propagation,False,15,2,0.12907,0.29031,0.12907,0.12907,0.12907,1.5391,-0.00036,0.14954,0.38406,0.04665,0.0781,0.07112,28.60241
Label Propagation,False,15,3,0.12907,0.29031,0.12907,0.12907,0.12907,1.5391,-0.00036,0.14954,0.38406,0.04665,0.0781,0.07112,25.75278
Label Propagation,False,15,4,0.12907,0.29031,0.12907,0.12907,0.12907,1.5391,-0.00036,0.14954,0.38406,0.04665,0.0781,0.07112,27.57599
Label Propagation,False,15,5,0.12907,0.29031,0.12907,0.12907,0.12907,1.5391,-0.00036,0.14954,0.38406,0.04665,0.0781,0.07112,24.39402
Label Propagation,False,15,6,0.12907,0.29031,0.12907,0.12907,0.12907,1.5391,-0.00036,0.14954,0.38406,0.04665,0.0781,0.07112,26.01082
Label Propagation,False,15,7,0.12907,0.29031,0.12907,0.12907,0.12907,1.5391,-0.00036,0.14954,0.38406,0.04665,0.0781,0.07112,27.15302
