Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,11,0,0.26747,0.39458,0.26747,0.26747,0.26747,1.36344,-0.0023,0.11906,0.57883,0.00534,0.0058,0.01023,13.73887
Label Propagation,False,11,1,0.26747,0.39458,0.26747,0.26747,0.26747,1.36344,-0.0023,0.11906,0.57883,0.00534,0.0058,0.01023,13.77253
Label Propagation,False,11,2,0.26747,0.39458,0.26747,0.26747,0.26747,1.36344,-0.0023,0.11906,0.57883,0.00534,0.0058,0.01023,13.74885
Label Propagation,False,11,3,0.26747,0.39458,0.26747,0.26747,0.26747,1.36344,-0.0023,0.11906,0.57883,0.00534,0.0058,0.01023,13.84703
Label Propagation,False,11,4,0.26747,0.39458,0.26747,0.26747,0.26747,1.36344,-0.0023,0.11906,0.57883,0.00534,0.0058,0.01023,13.8305
Label Propagation,False,11,5,0.26747,0.39458,0.26747,0.26747,0.26747,1.36344,-0.0023,0.11906,0.57883,0.00534,0.0058,0.01023,13.71442
Label Propagation,False,11,6,0.26747,0.39458,0.26747,0.26747,0.26747,1.36344,-0.0023,0.11906,0.57883,0.00534,0.0058,0.01023,13.74144
Label Propagation,False,11,7,0.26747,0.39458,0.26747,0.26747,0.26747,1.36344,-0.0023,0.11906,0.57883,0.00534,0.0058,0.01023,13.79332
Label Propagation,False,11,8,0.26747,0.39458,0.26747,0.26747,0.26747,1.36344,-0.0023,0.11906,0.57883,0.00534,0.0058,0.01023,13.61803
Label Propagation,False,11,9,0.26747,0.39458,0.26747,0.26747,0.26747,1.36344,-0.0023,0.11906,0.57883,0.00534,0.0058,0.01023,13.74931
Label Propagation,False,13,0,0.25964,0.39458,0.25964,0.25964,0.25964,1.38817,0.0,1.0,0.58504,-0.0,-0.0,-0.0,14.54385
Label Propagation,False,13,1,0.25964,0.39458,0.25964,0.25964,0.25964,1.38817,0.0,1.0,0.58504,-0.0,-0.0,-0.0,14.50117
