Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,13,0,0.3122,0.36748,0.3122,0.3122,0.3122,1.50363,0.09447,0.27484,0.44455,0.11507,0.19381,0.16222,45.9456
Label Propagation,False,13,1,0.3122,0.36748,0.3122,0.3122,0.3122,1.50363,0.09447,0.27484,0.44455,0.11507,0.19381,0.16222,45.99196
Label Propagation,False,13,2,0.3122,0.36748,0.3122,0.3122,0.3122,1.50363,0.09447,0.27484,0.44455,0.11507,0.19381,0.16222,44.47576
Label Propagation,False,13,3,0.3122,0.36748,0.3122,0.3122,0.3122,1.50363,0.09447,0.27484,0.44455,0.11507,0.19381,0.16222,43.55349
Label Propagation,False,13,4,0.3122,0.36748,0.3122,0.3122,0.3122,1.50363,0.09447,0.27484,0.44455,0.11507,0.19381,0.16222,44.09771
Label Propagation,False,13,5,0.3122,0.36748,0.3122,0.3122,0.3122,1.50363,0.09447,0.27484,0.44455,0.11507,0.19381,0.16222,44.02542
Label Propagation,False,13,6,0.3122,0.36748,0.3122,0.3122,0.3122,1.50363,0.09447,0.27484,0.44455,0.11507,0.19381,0.16222,43.92088
Label Propagation,False,13,7,0.3122,0.36748,0.3122,0.3122,0.3122,1.50363,0.09447,0.27484,0.44455,0.11507,0.19381,0.16222,45.46825
Label Propagation,False,13,8,0.3122,0.36748,0.3122,0.3122,0.3122,1.50363,0.09447,0.27484,0.44455,0.11507,0.19381,0.16222,48.13808
Label Propagation,False,13,9,0.3122,0.36748,0.3122,0.3122,0.3122,1.50363,0.09447,0.27484,0.44455,0.11507,0.19381,0.16222,46.16074
Label Propagation,False,15,0,0.27967,0.35545,0.27967,0.27967,0.27967,1.6838,0.06034,0.27675,0.44516,0.07978,0.13436,0.12385,50.94126
Label Propagation,False,15,1,0.27967,0.35545,0.27967,0.27967,0.27967,1.6838,0.06034,0.27675,0.44516,0.07978,0.13436,0.12385,52.19162
Label Propagation,False,15,2,0.27967,0.35545,0.27967,0.27967,0.27967,1.6838,0.06034,0.27675,0.44516,0.07978,0.13436,0.12385,51.3736
Label Propagation,False,15,3,0.27967,0.35545,0.27967,0.27967,0.27967,1.6838,0.06034,0.27675,0.44516,0.07978,0.13436,0.12385,53.17086
Label Propagation,False,15,4,0.27967,0.35545,0.27967,0.27967,0.27967,1.6838,0.06034,0.27675,0.44516,0.07978,0.13436,0.12385,49.95151
Label Propagation,False,15,5,0.27967,0.35545,0.27967,0.27967,0.27967,1.6838,0.06034,0.27675,0.44516,0.07978,0.13436,0.12385,49.44084
Label Propagation,False,15,6,0.27967,0.35545,0.27967,0.27967,0.27967,1.6838,0.06034,0.27675,0.44516,0.07978,0.13436,0.12385,51.10124
Label Propagation,False,15,7,0.27967,0.35545,0.27967,0.27967,0.27967,1.6838,0.06034,0.27675,0.44516,0.07978,0.13436,0.12385,47.50903
Label Propagation,False,15,8,0.27967,0.35545,0.27967,0.27967,0.27967,1.6838,0.06034,0.27675,0.44516,0.07978,0.13436,0.12385,47.77861
Label Propagation,False,15,9,0.27967,0.35545,0.27967,0.27967,0.27967,1.6838,0.06034,0.27675,0.44516,0.07978,0.13436,0.12385,47.46525
Label Propagation,False,17,0,0.26927,0.34276,0.26927,0.26927,0.26927,1.70493,0.05125,0.26383,0.44492,0.06362,0.10716,0.10252,47.0723
Label Propagation,False,17,1,0.26927,0.34276,0.26927,0.26927,0.26927,1.70493,0.05125,0.26383,0.44492,0.06362,0.10716,0.10252,46.56851
Label Propagation,False,17,2,0.26927,0.34276,0.26927,0.26927,0.26927,1.70493,0.05125,0.26383,0.44492,0.06362,0.10716,0.10252,47.0649
Label Propagation,False,17,3,0.26927,0.34276,0.26927,0.26927,0.26927,1.70493,0.05125,0.26383,0.44492,0.06362,0.10716,0.10252,47.02507
Label Propagation,False,17,4,0.26927,0.34276,0.26927,0.26927,0.26927,1.70493,0.05125,0.26383,0.44492,0.06362,0.10716,0.10252,49.1828
Label Propagation,False,17,5,0.26927,0.34276,0.26927,0.26927,0.26927,1.70493,0.05125,0.26383,0.44492,0.06362,0.10716,0.10252,47.7042
Label Propagation,False,17,6,0.26927,0.34276,0.26927,0.26927,0.26927,1.70493,0.05125,0.26383,0.44492,0.06362,0.10716,0.10252,48.95761
Label Propagation,False,17,7,0.26927,0.34276,0.26927,0.26927,0.26927,1.70493,0.05125,0.26383,0.44492,0.06362,0.10716,0.10252,47.78019
Label Propagation,False,17,8,0.26927,0.34276,0.26927,0.26927,0.26927,1.70493,0.05125,0.26383,0.44492,0.06362,0.10716,0.10252,50.14568
Label Propagation,False,17,9,0.26927,0.34276,0.26927,0.26927,0.26927,1.70493,0.05125,0.26383,0.44492,0.06362,0.10716,0.10252,48.80135
Label Propagation,False,19,0,0.25984,0.36065,0.25984,0.25984,0.25984,1.69681,0.07155,0.33476,0.45258,0.09997,0.16837,0.15396,49.20523
Label Propagation,False,19,1,0.25984,0.36065,0.25984,0.25984,0.25984,1.69681,0.07155,0.33476,0.45258,0.09997,0.16837,0.15396,51.28385
Label Propagation,False,19,2,0.25984,0.36065,0.25984,0.25984,0.25984,1.69681,0.07155,0.33476,0.45258,0.09997,0.16837,0.15396,49.0405
Label Propagation,False,19,3,0.25984,0.36065,0.25984,0.25984,0.25984,1.69681,0.07155,0.33476,0.45258,0.09997,0.16837,0.15396,51.62866
Label Propagation,False,19,4,0.25984,0.36065,0.25984,0.25984,0.25984,1.69681,0.07155,0.33476,0.45258,0.09997,0.16837,0.15396,49.48615
Label Propagation,False,19,5,0.25984,0.36065,0.25984,0.25984,0.25984,1.69681,0.07155,0.33476,0.45258,0.09997,0.16837,0.15396,47.99658
Label Propagation,False,19,6,0.25984,0.36065,0.25984,0.25984,0.25984,1.69681,0.07155,0.33476,0.45258,0.09997,0.16837,0.15396,47.37653
Label Propagation,False,19,7,0.25984,0.36065,0.25984,0.25984,0.25984,1.69681,0.07155,0.33476,0.45258,0.09997,0.16837,0.15396,48.35615
Label Propagation,False,19,8,0.25984,0.36065,0.25984,0.25984,0.25984,1.69681,0.07155,0.33476,0.45258,0.09997,0.16837,0.15396,47.48953
Label Propagation,False,19,9,0.25984,0.36065,0.25984,0.25984,0.25984,1.69681,0.07155,0.33476,0.45258,0.09997,0.16837,0.15396,50.70469
Label Propagation,False,21,0,0.25528,0.34927,0.25528,0.25528,0.25528,1.89225,0.03539,0.35744,0.44855,0.06598,0.11113,0.1114,50.58929
Label Propagation,False,21,1,0.25528,0.34927,0.25528,0.25528,0.25528,1.89225,0.03539,0.35744,0.44855,0.06598,0.11113,0.1114,54.77733
Label Propagation,False,21,2,0.25528,0.34927,0.25528,0.25528,0.25528,1.89225,0.03539,0.35744,0.44855,0.06598,0.11113,0.1114,52.33705
Label Propagation,False,21,3,0.25528,0.34927,0.25528,0.25528,0.25528,1.89225,0.03539,0.35744,0.44855,0.06598,0.11113,0.1114,51.60837
Label Propagation,False,21,4,0.25528,0.34927,0.25528,0.25528,0.25528,1.89225,0.03539,0.35744,0.44855,0.06598,0.11113,0.1114,54.33336
Label Propagation,False,21,5,0.25528,0.34927,0.25528,0.25528,0.25528,1.89225,0.03539,0.35744,0.44855,0.06598,0.11113,0.1114,51.65916
Label Propagation,False,21,6,0.25528,0.34927,0.25528,0.25528,0.25528,1.89225,0.03539,0.35744,0.44855,0.06598,0.11113,0.1114,52.09276
Label Propagation,False,21,7,0.25528,0.34927,0.25528,0.25528,0.25528,1.89225,0.03539,0.35744,0.44855,0.06598,0.11113,0.1114,54.36653
Label Propagation,False,21,8,0.25528,0.34927,0.25528,0.25528,0.25528,1.89225,0.03539,0.35744,0.44855,0.06598,0.11113,0.1114,49.8991
Label Propagation,False,21,9,0.25528,0.34927,0.25528,0.25528,0.25528,1.89225,0.03539,0.35744,0.44855,0.06598,0.11113,0.1114,51.07082
Label Propagation,False,23,0,0.25463,0.35122,0.25463,0.25463,0.25463,1.94499,0.02926,0.40815,0.44829,0.0699,0.11773,0.11936,52.43299
Label Propagation,False,23,1,0.25463,0.35122,0.25463,0.25463,0.25463,1.94499,0.02926,0.40815,0.44829,0.0699,0.11773,0.11936,53.50687
Label Propagation,False,23,2,0.25463,0.35122,0.25463,0.25463,0.25463,1.94499,0.02926,0.40815,0.44829,0.0699,0.11773,0.11936,53.75862
Label Propagation,False,23,3,0.25463,0.35122,0.25463,0.25463,0.25463,1.94499,0.02926,0.40815,0.44829,0.0699,0.11773,0.11936,51.58163
Label Propagation,False,23,4,0.25463,0.35122,0.25463,0.25463,0.25463,1.94499,0.02926,0.40815,0.44829,0.0699,0.11773,0.11936,52.25508
Label Propagation,False,23,5,0.25463,0.35122,0.25463,0.25463,0.25463,1.94499,0.02926,0.40815,0.44829,0.0699,0.11773,0.11936,57.48772
Label Propagation,False,23,6,0.25463,0.35122,0.25463,0.25463,0.25463,1.94499,0.02926,0.40815,0.44829,0.0699,0.11773,0.11936,55.35679
Label Propagation,False,23,7,0.25463,0.35122,0.25463,0.25463,0.25463,1.94499,0.02926,0.40815,0.44829,0.0699,0.11773,0.11936,51.86606
Label Propagation,False,23,8,0.25463,0.35122,0.25463,0.25463,0.25463,1.94499,0.02926,0.40815,0.44829,0.0699,0.11773,0.11936,55.68818
Label Propagation,False,23,9,0.25463,0.35122,0.25463,0.25463,0.25463,1.94499,0.02926,0.40815,0.44829,0.0699,0.11773,0.11936,52.60847
