Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,15,0,0.14786,0.44659,0.14786,0.14786,0.14786,1.65696,0.11691,0.43915,0.2492,0.32415,0.8512,0.37299,12.83776
Label Propagation,False,15,1,0.14786,0.44659,0.14786,0.14786,0.14786,1.65696,0.11691,0.43915,0.2492,0.32415,0.8512,0.37299,12.73416
Label Propagation,False,15,2,0.14786,0.44659,0.14786,0.14786,0.14786,1.65696,0.11691,0.43915,0.2492,0.32415,0.8512,0.37299,12.69857
Label Propagation,False,15,3,0.14786,0.44659,0.14786,0.14786,0.14786,1.65696,0.11691,0.43915,0.2492,0.32415,0.8512,0.37299,12.74649
Label Propagation,False,15,4,0.14786,0.44659,0.14786,0.14786,0.14786,1.65696,0.11691,0.43915,0.2492,0.32415,0.8512,0.37299,12.68114
Label Propagation,False,15,5,0.14786,0.44659,0.14786,0.14786,0.14786,1.65696,0.11691,0.43915,0.2492,0.32415,0.8512,0.37299,12.7297
Label Propagation,False,15,6,0.14786,0.44659,0.14786,0.14786,0.14786,1.65696,0.11691,0.43915,0.2492,0.32415,0.8512,0.37299,12.74356
Label Propagation,False,15,7,0.14786,0.44659,0.14786,0.14786,0.14786,1.65696,0.11691,0.43915,0.2492,0.32415,0.8512,0.37299,12.74448
Label Propagation,False,15,8,0.14786,0.44659,0.14786,0.14786,0.14786,1.65696,0.11691,0.43915,0.2492,0.32415,0.8512,0.37299,12.72308
Label Propagation,False,15,9,0.14786,0.44659,0.14786,0.14786,0.14786,1.65696,0.11691,0.43915,0.2492,0.32415,0.8512,0.37299,12.69403
Label Propagation,False,17,0,0.12492,0.44297,0.12492,0.12492,0.12492,1.85376,0.10925,0.42597,0.2459,0.30708,0.80637,0.35689,12.72137
Label Propagation,False,17,1,0.12492,0.44297,0.12492,0.12492,0.12492,1.85376,0.10925,0.42597,0.2459,0.30708,0.80637,0.35689,12.815
Label Propagation,False,17,2,0.12492,0.44297,0.12492,0.12492,0.12492,1.85376,0.10925,0.42597,0.2459,0.30708,0.80637,0.35689,12.805
Label Propagation,False,17,3,0.12492,0.44297,0.12492,0.12492,0.12492,1.85376,0.10925,0.42597,0.2459,0.30708,0.80637,0.35689,12.80429
Label Propagation,False,17,4,0.12492,0.44297,0.12492,0.12492,0.12492,1.85376,0.10925,0.42597,0.2459,0.30708,0.80637,0.35689,12.71841
Label Propagation,False,17,5,0.12492,0.44297,0.12492,0.12492,0.12492,1.85376,0.10925,0.42597,0.2459,0.30708,0.80637,0.35689,12.75743
Label Propagation,False,17,6,0.12492,0.44297,0.12492,0.12492,0.12492,1.85376,0.10925,0.42597,0.2459,0.30708,0.80637,0.35689,12.81
Label Propagation,False,17,7,0.12492,0.44297,0.12492,0.12492,0.12492,1.85376,0.10925,0.42597,0.2459,0.30708,0.80637,0.35689,12.75281
Label Propagation,False,17,8,0.12492,0.44297,0.12492,0.12492,0.12492,1.85376,0.10925,0.42597,0.2459,0.30708,0.80637,0.35689,12.8344
Label Propagation,False,17,9,0.12492,0.44297,0.12492,0.12492,0.12492,1.85376,0.10925,0.42597,0.2459,0.30708,0.80637,0.35689,12.76708
Greedy Modularity,False,3,0,0.13881,0.44418,0.13881,0.13881,0.13881,1.69697,0.15056,0.43187,0.28166,0.3135,0.82322,0.36329,12.31228
Greedy Modularity,False,3,1,0.13881,0.44418,0.13881,0.13881,0.13881,1.69697,0.15056,0.43187,0.28166,0.3135,0.82322,0.36329,12.30308
