Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,13,0,0.203,0.43745,0.203,0.203,0.203,0.59876,0.01715,0.25996,0.42155,0.13133,0.18566,0.1745,86.34224
Label Propagation,False,13,1,0.203,0.43745,0.203,0.203,0.203,0.59876,0.01715,0.25996,0.42155,0.13133,0.18566,0.1745,86.16921
Label Propagation,False,13,2,0.203,0.43745,0.203,0.203,0.203,0.59876,0.01715,0.25996,0.42155,0.13133,0.18566,0.1745,77.72642
Label Propagation,False,13,3,0.203,0.43745,0.203,0.203,0.203,0.59876,0.01715,0.25996,0.42155,0.13133,0.18566,0.1745,71.88543
Label Propagation,False,13,4,0.203,0.43745,0.203,0.203,0.203,0.59876,0.01715,0.25996,0.42155,0.13133,0.18566,0.1745,82.87521
Label Propagation,False,13,5,0.203,0.43745,0.203,0.203,0.203,0.59876,0.01715,0.25996,0.42155,0.13133,0.18566,0.1745,82.39402
Label Propagation,False,13,6,0.203,0.43745,0.203,0.203,0.203,0.59876,0.01715,0.25996,0.42155,0.13133,0.18566,0.1745,81.56375
Label Propagation,False,13,7,0.203,0.43745,0.203,0.203,0.203,0.59876,0.01715,0.25996,0.42155,0.13133,0.18566,0.1745,74.54194
Label Propagation,False,13,8,0.203,0.43745,0.203,0.203,0.203,0.59876,0.01715,0.25996,0.42155,0.13133,0.18566,0.1745,86.39293
Label Propagation,False,13,9,0.203,0.43745,0.203,0.203,0.203,0.59876,0.01715,0.25996,0.42155,0.13133,0.18566,0.1745,78.78717
Label Propagation,False,15,0,0.20718,0.41706,0.20718,0.20718,0.20718,0.63121,0.00389,0.21962,0.40373,0.11804,0.16688,0.15355,94.07418
Label Propagation,False,15,1,0.20718,0.41706,0.20718,0.20718,0.20718,0.63121,0.00389,0.21962,0.40373,0.11804,0.16688,0.15355,67.40685
Label Propagation,False,15,2,0.20718,0.41706,0.20718,0.20718,0.20718,0.63121,0.00389,0.21962,0.40373,0.11804,0.16688,0.15355,85.73551
Label Propagation,False,15,3,0.20718,0.41706,0.20718,0.20718,0.20718,0.63121,0.00389,0.21962,0.40373,0.11804,0.16688,0.15355,86.06364
Label Propagation,False,15,4,0.20718,0.41706,0.20718,0.20718,0.20718,0.63121,0.00389,0.21962,0.40373,0.11804,0.16688,0.15355,64.6249
Label Propagation,False,15,5,0.20718,0.41706,0.20718,0.20718,0.20718,0.63121,0.00389,0.21962,0.40373,0.11804,0.16688,0.15355,60.32388
Label Propagation,False,15,6,0.20718,0.41706,0.20718,0.20718,0.20718,0.63121,0.00389,0.21962,0.40373,0.11804,0.16688,0.15355,67.86726
Label Propagation,False,15,7,0.20718,0.41706,0.20718,0.20718,0.20718,0.63121,0.00389,0.21962,0.40373,0.11804,0.16688,0.15355,89.55946
Label Propagation,False,15,8,0.20718,0.41706,0.20718,0.20718,0.20718,0.63121,0.00389,0.21962,0.40373,0.11804,0.16688,0.15355,86.97804
Label Propagation,False,15,9,0.20718,0.41706,0.20718,0.20718,0.20718,0.63121,0.00389,0.21962,0.40373,0.11804,0.16688,0.15355,91.04836
Label Propagation,False,17,0,0.20152,0.42443,0.20152,0.20152,0.20152,0.77823,0.01134,0.23731,0.40918,0.12569,0.1777,0.16434,82.76605
Label Propagation,False,17,1,0.20152,0.42443,0.20152,0.20152,0.20152,0.77823,0.01134,0.23731,0.40918,0.12569,0.1777,0.16434,86.24664
Label Propagation,False,17,2,0.20152,0.42443,0.20152,0.20152,0.20152,0.77823,0.01134,0.23731,0.40918,0.12569,0.1777,0.16434,64.19291
Label Propagation,False,17,3,0.20152,0.42443,0.20152,0.20152,0.20152,0.77823,0.01134,0.23731,0.40918,0.12569,0.1777,0.16434,67.73961
Label Propagation,False,17,4,0.20152,0.42443,0.20152,0.20152,0.20152,0.77823,0.01134,0.23731,0.40918,0.12569,0.1777,0.16434,76.84751
Label Propagation,False,17,5,0.20152,0.42443,0.20152,0.20152,0.20152,0.77823,0.01134,0.23731,0.40918,0.12569,0.1777,0.16434,93.34399
Label Propagation,False,17,6,0.20152,0.42443,0.20152,0.20152,0.20152,0.77823,0.01134,0.23731,0.40918,0.12569,0.1777,0.16434,92.05079
Label Propagation,False,17,7,0.20152,0.42443,0.20152,0.20152,0.20152,0.77823,0.01134,0.23731,0.40918,0.12569,0.1777,0.16434,88.85713
Label Propagation,False,17,8,0.20152,0.42443,0.20152,0.20152,0.20152,0.77823,0.01134,0.23731,0.40918,0.12569,0.1777,0.16434,85.14943
Label Propagation,False,17,9,0.20152,0.42443,0.20152,0.20152,0.20152,0.77823,0.01134,0.23731,0.40918,0.12569,0.1777,0.16434,63.57847
Label Propagation,False,19,0,0.25879,0.42762,0.25879,0.25879,0.25879,0.93705,0.02619,0.35591,0.45396,0.13036,0.18429,0.19082,69.45947
Label Propagation,False,19,1,0.25879,0.42762,0.25879,0.25879,0.25879,0.93705,0.02619,0.35591,0.45396,0.13036,0.18429,0.19082,98.99605
Label Propagation,False,19,2,0.25879,0.42762,0.25879,0.25879,0.25879,0.93705,0.02619,0.35591,0.45396,0.13036,0.18429,0.19082,98.39828
Label Propagation,False,19,3,0.25879,0.42762,0.25879,0.25879,0.25879,0.93705,0.02619,0.35591,0.45396,0.13036,0.18429,0.19082,97.91564
Label Propagation,False,19,4,0.25879,0.42762,0.25879,0.25879,0.25879,0.93705,0.02619,0.35591,0.45396,0.13036,0.18429,0.19082,98.24427
Label Propagation,False,19,5,0.25879,0.42762,0.25879,0.25879,0.25879,0.93705,0.02619,0.35591,0.45396,0.13036,0.18429,0.19082,97.71417
Label Propagation,False,19,6,0.25879,0.42762,0.25879,0.25879,0.25879,0.93705,0.02619,0.35591,0.45396,0.13036,0.18429,0.19082,102.68182
Label Propagation,False,19,7,0.25879,0.42762,0.25879,0.25879,0.25879,0.93705,0.02619,0.35591,0.45396,0.13036,0.18429,0.19082,83.05979
Label Propagation,False,19,8,0.25879,0.42762,0.25879,0.25879,0.25879,0.93705,0.02619,0.35591,0.45396,0.13036,0.18429,0.19082,99.11103
Label Propagation,False,19,9,0.25879,0.42762,0.25879,0.25879,0.25879,0.93705,0.02619,0.35591,0.45396,0.13036,0.18429,0.19082,98.97861
Label Propagation,False,21,0,0.26468,0.43868,0.26468,0.26468,0.26468,0.66951,0.03382,0.35533,0.45347,0.13925,0.19686,0.20009,93.4409
Label Propagation,False,21,1,0.26468,0.43868,0.26468,0.26468,0.26468,0.66951,0.03382,0.35533,0.45347,0.13925,0.19686,0.20009,85.87726
Label Propagation,False,21,2,0.26468,0.43868,0.26468,0.26468,0.26468,0.66951,0.03382,0.35533,0.45347,0.13925,0.19686,0.20009,77.23629
Label Propagation,False,21,3,0.26468,0.43868,0.26468,0.26468,0.26468,0.66951,0.03382,0.35533,0.45347,0.13925,0.19686,0.20009,73.70932
Label Propagation,False,21,4,0.26468,0.43868,0.26468,0.26468,0.26468,0.66951,0.03382,0.35533,0.45347,0.13925,0.19686,0.20009,93.34304
Label Propagation,False,21,5,0.26468,0.43868,0.26468,0.26468,0.26468,0.66951,0.03382,0.35533,0.45347,0.13925,0.19686,0.20009,75.27465
Label Propagation,False,21,6,0.26468,0.43868,0.26468,0.26468,0.26468,0.66951,0.03382,0.35533,0.45347,0.13925,0.19686,0.20009,88.82739
Label Propagation,False,21,7,0.26468,0.43868,0.26468,0.26468,0.26468,0.66951,0.03382,0.35533,0.45347,0.13925,0.19686,0.20009,90.73403
Label Propagation,False,21,8,0.26468,0.43868,0.26468,0.26468,0.26468,0.66951,0.03382,0.35533,0.45347,0.13925,0.19686,0.20009,86.73074
Label Propagation,False,21,9,0.26468,0.43868,0.26468,0.26468,0.26468,0.66951,0.03382,0.35533,0.45347,0.13925,0.19686,0.20009,89.19787
Label Propagation,False,23,0,0.20202,0.43156,0.20202,0.20202,0.20202,0.67061,0.00694,0.26715,0.42988,0.12301,0.17391,0.16846,93.3659
Label Propagation,False,23,1,0.20202,0.43156,0.20202,0.20202,0.20202,0.67061,0.00694,0.26715,0.42988,0.12301,0.17391,0.16846,77.48215
Label Propagation,False,23,2,0.20202,0.43156,0.20202,0.20202,0.20202,0.67061,0.00694,0.26715,0.42988,0.12301,0.17391,0.16846,85.17023
Label Propagation,False,23,3,0.20202,0.43156,0.20202,0.20202,0.20202,0.67061,0.00694,0.26715,0.42988,0.12301,0.17391,0.16846,90.18167
Label Propagation,False,23,4,0.20202,0.43156,0.20202,0.20202,0.20202,0.67061,0.00694,0.26715,0.42988,0.12301,0.17391,0.16846,87.84542
Label Propagation,False,23,5,0.20202,0.43156,0.20202,0.20202,0.20202,0.67061,0.00694,0.26715,0.42988,0.12301,0.17391,0.16846,73.94046
Label Propagation,False,23,6,0.20202,0.43156,0.20202,0.20202,0.20202,0.67061,0.00694,0.26715,0.42988,0.12301,0.17391,0.16846,94.37607
Label Propagation,False,23,7,0.20202,0.43156,0.20202,0.20202,0.20202,0.67061,0.00694,0.26715,0.42988,0.12301,0.17391,0.16846,91.34925
Label Propagation,False,23,8,0.20202,0.43156,0.20202,0.20202,0.20202,0.67061,0.00694,0.26715,0.42988,0.12301,0.17391,0.16846,80.35518
Label Propagation,False,23,9,0.20202,0.43156,0.20202,0.20202,0.20202,0.67061,0.00694,0.26715,0.42988,0.12301,0.17391,0.16846,88.11392
Label Propagation,False,25,0,0.19169,0.41828,0.19169,0.19169,0.19169,0.64465,1e-05,0.25001,0.43087,0.10994,0.15543,0.15272,90.36473
Label Propagation,False,25,1,0.19169,0.41828,0.19169,0.19169,0.19169,0.64465,1e-05,0.25001,0.43087,0.10994,0.15543,0.15272,87.07833
Label Propagation,False,25,2,0.19169,0.41828,0.19169,0.19169,0.19169,0.64465,1e-05,0.25001,0.43087,0.10994,0.15543,0.15272,62.72633
Label Propagation,False,25,3,0.19169,0.41828,0.19169,0.19169,0.19169,0.64465,1e-05,0.25001,0.43087,0.10994,0.15543,0.15272,78.76295
