Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,5,0,0.249,0.544,0.249,0.249,0.249,0.111,0.23,0.43,0.482,0.337,0.446,0.378,1.0438754558563232
Label Propagation,False,5,1,0.249,0.544,0.249,0.249,0.249,0.111,0.23,0.43,0.482,0.337,0.446,0.378,1.1326138973236084
Label Propagation,False,5,2,0.249,0.544,0.249,0.249,0.249,0.111,0.23,0.43,0.482,0.337,0.446,0.378,0.8849000930786133
Label Propagation,False,5,3,0.249,0.544,0.249,0.249,0.249,0.111,0.23,0.43,0.482,0.337,0.446,0.378,1.0608444213867188
Label Propagation,False,5,4,0.249,0.544,0.249,0.249,0.249,0.111,0.23,0.43,0.482,0.337,0.446,0.378,0.9252212047576904
Label Propagation,False,5,5,0.249,0.544,0.249,0.249,0.249,0.111,0.23,0.43,0.482,0.337,0.446,0.378,0.8924553394317627
Label Propagation,False,5,6,0.249,0.544,0.249,0.249,0.249,0.111,0.23,0.43,0.482,0.337,0.446,0.378,0.9541606903076172
Label Propagation,False,5,7,0.249,0.544,0.249,0.249,0.249,0.111,0.23,0.43,0.482,0.337,0.446,0.378,0.8436136245727539
Label Propagation,False,5,8,0.249,0.544,0.249,0.249,0.249,0.111,0.23,0.43,0.482,0.337,0.446,0.378,0.8775594234466553
Label Propagation,False,5,9,0.249,0.544,0.249,0.249,0.249,0.111,0.23,0.43,0.482,0.337,0.446,0.378,0.9044384956359864
Label Propagation,False,7,0,0.243,0.736,0.243,0.243,0.243,0.23,0.454,0.59,0.607,0.594,0.786,0.592,0.9702534675598145
Label Propagation,False,7,1,0.243,0.736,0.243,0.243,0.243,0.23,0.454,0.59,0.607,0.594,0.786,0.592,1.3729662895202637
Label Propagation,False,7,2,0.243,0.736,0.243,0.243,0.243,0.23,0.454,0.59,0.607,0.594,0.786,0.592,1.1990084648132324
Label Propagation,False,7,3,0.243,0.736,0.243,0.243,0.243,0.23,0.454,0.59,0.607,0.594,0.786,0.592,1.1716763973236084
Label Propagation,False,7,4,0.243,0.736,0.243,0.243,0.243,0.23,0.454,0.59,0.607,0.594,0.786,0.592,1.3540701866149902
Label Propagation,False,7,5,0.243,0.736,0.243,0.243,0.243,0.23,0.454,0.59,0.607,0.594,0.786,0.592,1.2558562755584717
Label Propagation,False,7,6,0.243,0.736,0.243,0.243,0.243,0.23,0.454,0.59,0.607,0.594,0.786,0.592,1.1483814716339111
Label Propagation,False,7,7,0.243,0.736,0.243,0.243,0.243,0.23,0.454,0.59,0.607,0.594,0.786,0.592,1.1198649406433103
Label Propagation,False,7,8,0.243,0.736,0.243,0.243,0.243,0.23,0.454,0.59,0.607,0.594,0.786,0.592,1.2287254333496094
Label Propagation,False,7,9,0.243,0.736,0.243,0.243,0.243,0.23,0.454,0.59,0.607,0.594,0.786,0.592,1.0650980472564695
Label Propagation,False,9,0,0.084,0.595,0.084,0.084,0.084,0.288,0.246,0.458,0.465,0.449,0.594,0.453,1.069035291671753
Label Propagation,False,9,1,0.084,0.595,0.084,0.084,0.084,0.288,0.246,0.458,0.465,0.449,0.594,0.453,0.8695831298828125
Label Propagation,False,9,2,0.084,0.595,0.084,0.084,0.084,0.288,0.246,0.458,0.465,0.449,0.594,0.453,1.0002007484436035
Label Propagation,False,9,3,0.084,0.595,0.084,0.084,0.084,0.288,0.246,0.458,0.465,0.449,0.594,0.453,1.132124423980713
Label Propagation,False,9,4,0.084,0.595,0.084,0.084,0.084,0.288,0.246,0.458,0.465,0.449,0.594,0.453,0.9992103576660156
Label Propagation,False,9,5,0.084,0.595,0.084,0.084,0.084,0.288,0.246,0.458,0.465,0.449,0.594,0.453,0.962665557861328
Label Propagation,False,9,6,0.084,0.595,0.084,0.084,0.084,0.288,0.246,0.458,0.465,0.449,0.594,0.453,0.894465446472168
Label Propagation,False,9,7,0.084,0.595,0.084,0.084,0.084,0.288,0.246,0.458,0.465,0.449,0.594,0.453,0.8273625373840332
Label Propagation,False,9,8,0.084,0.595,0.084,0.084,0.084,0.288,0.246,0.458,0.465,0.449,0.594,0.453,0.8827958106994629
Label Propagation,False,9,9,0.084,0.595,0.084,0.084,0.084,0.288,0.246,0.458,0.465,0.449,0.594,0.453,1.0179483890533447
Label Propagation,False,11,0,0.589,0.604,0.589,0.589,0.589,0.124,0.508,0.844,0.715,0.439,0.581,0.578,0.8333203792572021
Label Propagation,False,11,1,0.589,0.604,0.589,0.589,0.589,0.124,0.508,0.844,0.715,0.439,0.581,0.578,1.075643539428711
Label Propagation,False,11,2,0.589,0.604,0.589,0.589,0.589,0.124,0.508,0.844,0.715,0.439,0.581,0.578,1.0288681983947754
Label Propagation,False,11,3,0.589,0.604,0.589,0.589,0.589,0.124,0.508,0.844,0.715,0.439,0.581,0.578,1.0432605743408203
