Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,5,0,0.25,0.446,0.25,0.25,0.25,0.79,0.003,0.038,0.307,0.033,0.048,0.035,0.3070940971374512
Label Propagation,False,5,1,0.25,0.446,0.25,0.25,0.25,0.79,0.003,0.038,0.307,0.033,0.048,0.035,0.2509243488311768
Label Propagation,False,5,2,0.25,0.446,0.25,0.25,0.25,0.79,0.003,0.038,0.307,0.033,0.048,0.035,0.2280914783477783
Label Propagation,False,5,3,0.25,0.446,0.25,0.25,0.25,0.79,0.003,0.038,0.307,0.033,0.048,0.035,0.16959547996520996
Label Propagation,False,5,4,0.25,0.446,0.25,0.25,0.25,0.79,0.003,0.038,0.307,0.033,0.048,0.035,0.16910648345947266
Label Propagation,False,5,5,0.25,0.446,0.25,0.25,0.25,0.79,0.003,0.038,0.307,0.033,0.048,0.035,0.16954660415649414
Label Propagation,False,5,6,0.25,0.446,0.25,0.25,0.25,0.79,0.003,0.038,0.307,0.033,0.048,0.035,0.17076396942138672
Label Propagation,False,5,7,0.25,0.446,0.25,0.25,0.25,0.79,0.003,0.038,0.307,0.033,0.048,0.035,0.20714402198791504
Label Propagation,False,5,8,0.25,0.446,0.25,0.25,0.25,0.79,0.003,0.038,0.307,0.033,0.048,0.035,0.1896967887878418
Label Propagation,False,5,9,0.25,0.446,0.25,0.25,0.25,0.79,0.003,0.038,0.307,0.033,0.048,0.035,0.36301636695861816
Label Propagation,False,7,0,0.25,0.446,0.25,0.25,0.25,0.888,-0.0,0.034,0.304,0.03,0.043,0.032,0.3612210750579834
Label Propagation,False,7,1,0.25,0.446,0.25,0.25,0.25,0.888,-0.0,0.034,0.304,0.03,0.043,0.032,0.34688544273376465
Label Propagation,False,7,2,0.25,0.446,0.25,0.25,0.25,0.888,-0.0,0.034,0.304,0.03,0.043,0.032,0.3509080410003662
Label Propagation,False,7,3,0.25,0.446,0.25,0.25,0.25,0.888,-0.0,0.034,0.304,0.03,0.043,0.032,0.3704843521118164
Label Propagation,False,7,4,0.25,0.446,0.25,0.25,0.25,0.888,-0.0,0.034,0.304,0.03,0.043,0.032,0.3146693706512451
Label Propagation,False,7,5,0.25,0.446,0.25,0.25,0.25,0.888,-0.0,0.034,0.304,0.03,0.043,0.032,0.22187137603759768
Label Propagation,False,7,6,0.25,0.446,0.25,0.25,0.25,0.888,-0.0,0.034,0.304,0.03,0.043,0.032,0.2558145523071289
Label Propagation,False,7,7,0.25,0.446,0.25,0.25,0.25,0.888,-0.0,0.034,0.304,0.03,0.043,0.032,0.2854139804840088
Label Propagation,False,7,8,0.25,0.446,0.25,0.25,0.25,0.888,-0.0,0.034,0.304,0.03,0.043,0.032,0.2457985877990723
Label Propagation,False,7,9,0.25,0.446,0.25,0.25,0.25,0.888,-0.0,0.034,0.304,0.03,0.043,0.032,0.4640848636627197
Label Propagation,False,9,0,0.353,0.446,0.353,0.353,0.353,0.566,-0.007,0.035,0.317,0.025,0.037,0.029,0.4632205963134766
Label Propagation,False,9,1,0.353,0.446,0.353,0.353,0.353,0.566,-0.007,0.035,0.317,0.025,0.037,0.029,0.5273375511169434
Label Propagation,False,9,2,0.353,0.446,0.353,0.353,0.353,0.566,-0.007,0.035,0.317,0.025,0.037,0.029,0.4029426574707031
Label Propagation,False,9,3,0.353,0.446,0.353,0.353,0.353,0.566,-0.007,0.035,0.317,0.025,0.037,0.029,0.4727499485015869
Label Propagation,False,9,4,0.353,0.446,0.353,0.353,0.353,0.566,-0.007,0.035,0.317,0.025,0.037,0.029,0.4247934818267822
Label Propagation,False,9,5,0.353,0.446,0.353,0.353,0.353,0.566,-0.007,0.035,0.317,0.025,0.037,0.029,0.5259449481964111
Label Propagation,False,9,6,0.353,0.446,0.353,0.353,0.353,0.566,-0.007,0.035,0.317,0.025,0.037,0.029,0.30164742469787603
Label Propagation,False,9,7,0.353,0.446,0.353,0.353,0.353,0.566,-0.007,0.035,0.317,0.025,0.037,0.029,0.4438629150390625
Label Propagation,False,9,8,0.353,0.446,0.353,0.353,0.353,0.566,-0.007,0.035,0.317,0.025,0.037,0.029,0.4558923244476318
Label Propagation,False,9,9,0.353,0.446,0.353,0.353,0.353,0.566,-0.007,0.035,0.317,0.025,0.037,0.029,0.6070690155029297
Label Propagation,False,11,0,0.294,0.446,0.294,0.294,0.294,0.805,0.023,0.038,0.304,0.034,0.049,0.036,0.3791933059692383
Label Propagation,False,11,1,0.294,0.446,0.294,0.294,0.294,0.805,0.023,0.038,0.304,0.034,0.049,0.036,0.3919510841369629
Label Propagation,False,11,2,0.294,0.446,0.294,0.294,0.294,0.805,0.023,0.038,0.304,0.034,0.049,0.036,0.3838160037994385
Label Propagation,False,11,3,0.294,0.446,0.294,0.294,0.294,0.805,0.023,0.038,0.304,0.034,0.049,0.036,0.3840417861938477
Label Propagation,False,11,4,0.294,0.446,0.294,0.294,0.294,0.805,0.023,0.038,0.304,0.034,0.049,0.036,0.3915646076202393
Label Propagation,False,11,5,0.294,0.446,0.294,0.294,0.294,0.805,0.023,0.038,0.304,0.034,0.049,0.036,0.4087808132171631
Label Propagation,False,11,6,0.294,0.446,0.294,0.294,0.294,0.805,0.023,0.038,0.304,0.034,0.049,0.036,0.3993568420410156
Label Propagation,False,11,7,0.294,0.446,0.294,0.294,0.294,0.805,0.023,0.038,0.304,0.034,0.049,0.036,0.3847289085388184
Label Propagation,False,11,8,0.294,0.446,0.294,0.294,0.294,0.805,0.023,0.038,0.304,0.034,0.049,0.036,0.33669376373291016
Label Propagation,False,11,9,0.294,0.446,0.294,0.294,0.294,0.805,0.023,0.038,0.304,0.034,0.049,0.036,0.3903639316558838
Label Propagation,False,13,0,0.221,0.446,0.221,0.221,0.221,1.12,-0.008,0.033,0.252,0.035,0.05,0.034,0.3906600475311279
Label Propagation,False,13,1,0.221,0.446,0.221,0.221,0.221,1.12,-0.008,0.033,0.252,0.035,0.05,0.034,0.4384512901306152
Label Propagation,False,13,2,0.221,0.446,0.221,0.221,0.221,1.12,-0.008,0.033,0.252,0.035,0.05,0.034,0.3572320938110352
Label Propagation,False,13,3,0.221,0.446,0.221,0.221,0.221,1.12,-0.008,0.033,0.252,0.035,0.05,0.034,0.3232300281524658
Label Propagation,False,13,4,0.221,0.446,0.221,0.221,0.221,1.12,-0.008,0.033,0.252,0.035,0.05,0.034,0.2931642532348633
Label Propagation,False,13,5,0.221,0.446,0.221,0.221,0.221,1.12,-0.008,0.033,0.252,0.035,0.05,0.034,0.27099061012268066
Label Propagation,False,13,6,0.221,0.446,0.221,0.221,0.221,1.12,-0.008,0.033,0.252,0.035,0.05,0.034,0.2953760623931885
Label Propagation,False,13,7,0.221,0.446,0.221,0.221,0.221,1.12,-0.008,0.033,0.252,0.035,0.05,0.034,0.2671537399291992
Label Propagation,False,13,8,0.221,0.446,0.221,0.221,0.221,1.12,-0.008,0.033,0.252,0.035,0.05,0.034,0.3407008647918701
Label Propagation,False,13,9,0.221,0.446,0.221,0.221,0.221,1.12,-0.008,0.033,0.252,0.035,0.05,0.034,0.3179333209991455
Label Propagation,False,15,0,0.299,0.446,0.299,0.299,0.299,0.802,-0.008,0.04,0.336,0.027,0.039,0.032,0.5738828182220459
Label Propagation,False,15,1,0.299,0.446,0.299,0.299,0.299,0.802,-0.008,0.04,0.336,0.027,0.039,0.032,0.3754611015319824
Label Propagation,False,15,2,0.299,0.446,0.299,0.299,0.299,0.802,-0.008,0.04,0.336,0.027,0.039,0.032,0.2595343589782715
Label Propagation,False,15,3,0.299,0.446,0.299,0.299,0.299,0.802,-0.008,0.04,0.336,0.027,0.039,0.032,0.3875517845153809
Label Propagation,False,15,4,0.299,0.446,0.299,0.299,0.299,0.802,-0.008,0.04,0.336,0.027,0.039,0.032,0.4231696128845215
Label Propagation,False,15,5,0.299,0.446,0.299,0.299,0.299,0.802,-0.008,0.04,0.336,0.027,0.039,0.032,0.3017528057098389
Label Propagation,False,15,6,0.299,0.446,0.299,0.299,0.299,0.802,-0.008,0.04,0.336,0.027,0.039,0.032,0.2675535678863525
Label Propagation,False,15,7,0.299,0.446,0.299,0.299,0.299,0.802,-0.008,0.04,0.336,0.027,0.039,0.032,0.28662633895874023
Label Propagation,False,15,8,0.299,0.446,0.299,0.299,0.299,0.802,-0.008,0.04,0.336,0.027,0.039,0.032,0.2606785297393799
Label Propagation,False,15,9,0.299,0.446,0.299,0.299,0.299,0.802,-0.008,0.04,0.336,0.027,0.039,0.032,0.3300244808197021
Asynchronous Label Propagation,False,5,0,0.289,0.446,0.289,0.289,0.289,0.792,-0.006,0.029,0.301,0.025,0.036,0.027,0.3545413017272949
Asynchronous Label Propagation,False,5,1,0.289,0.446,0.289,0.289,0.289,0.792,-0.006,0.029,0.301,0.025,0.036,0.027,0.33486247062683105
Asynchronous Label Propagation,False,5,2,0.289,0.446,0.289,0.289,0.289,0.792,-0.006,0.029,0.301,0.025,0.036,0.027,0.5157337188720703
Asynchronous Label Propagation,False,5,3,0.289,0.446,0.289,0.289,0.289,0.792,-0.006,0.029,0.301,0.025,0.036,0.027,0.5045998096466064
Asynchronous Label Propagation,False,5,4,0.289,0.446,0.289,0.289,0.289,0.792,-0.006,0.029,0.301,0.025,0.036,0.027,0.5314912796020508
Asynchronous Label Propagation,False,5,5,0.289,0.446,0.289,0.289,0.289,0.792,-0.006,0.029,0.301,0.025,0.036,0.027,0.4695913791656494
Asynchronous Label Propagation,False,5,6,0.289,0.446,0.289,0.289,0.289,0.792,-0.006,0.029,0.301,0.025,0.036,0.027,0.5075347423553467
Asynchronous Label Propagation,False,5,7,0.289,0.446,0.289,0.289,0.289,0.792,-0.006,0.029,0.301,0.025,0.036,0.027,0.4956321716308594
Asynchronous Label Propagation,False,5,8,0.289,0.446,0.289,0.289,0.289,0.792,-0.006,0.029,0.301,0.025,0.036,0.027,0.3797800540924072
Asynchronous Label Propagation,False,5,9,0.289,0.446,0.289,0.289,0.289,0.792,-0.006,0.029,0.301,0.025,0.036,0.027,0.4023535251617432
Asynchronous Label Propagation,False,7,0,0.27,0.456,0.27,0.27,0.27,0.773,0.01,0.044,0.303,0.04,0.058,0.042,0.5197923183441162
Asynchronous Label Propagation,False,7,1,0.27,0.456,0.27,0.27,0.27,0.773,0.01,0.044,0.303,0.04,0.058,0.042,0.3536567687988281
Asynchronous Label Propagation,False,7,2,0.27,0.456,0.27,0.27,0.27,0.773,0.01,0.044,0.303,0.04,0.058,0.042,0.3961646556854248
