Algorithm,Weight,K,Repetition,Accuracy,Purity,Micro-Precision,Micro-Recall,Micro-F1-Score,Entropy,Adjusted Rand,Completeness,Fowlkes Mallows,Homogeneity,Mutual Info,V Measure,Model Building Time
Label Propagation,False,9,0,0.29936,0.43333,0.29936,0.29936,0.29936,2.24913,0.14243,0.63415,0.34636,0.3326,0.85805,0.43635,15.02126
Label Propagation,False,9,1,0.29936,0.43333,0.29936,0.29936,0.29936,2.24913,0.14243,0.63415,0.34636,0.3326,0.85805,0.43635,15.34562
Label Propagation,False,9,2,0.29936,0.43333,0.29936,0.29936,0.29936,2.24913,0.14243,0.63415,0.34636,0.3326,0.85805,0.43635,15.97376
Label Propagation,False,9,3,0.29936,0.43333,0.29936,0.29936,0.29936,2.24913,0.14243,0.63415,0.34636,0.3326,0.85805,0.43635,14.16476
Label Propagation,False,9,4,0.29936,0.43333,0.29936,0.29936,0.29936,2.24913,0.14243,0.63415,0.34636,0.3326,0.85805,0.43635,12.48754
Label Propagation,False,9,5,0.29936,0.43333,0.29936,0.29936,0.29936,2.24913,0.14243,0.63415,0.34636,0.3326,0.85805,0.43635,12.48377
Label Propagation,False,9,6,0.29936,0.43333,0.29936,0.29936,0.29936,2.24913,0.14243,0.63415,0.34636,0.3326,0.85805,0.43635,12.50509
Label Propagation,False,9,7,0.29936,0.43333,0.29936,0.29936,0.29936,2.24913,0.14243,0.63415,0.34636,0.3326,0.85805,0.43635,12.48707
Label Propagation,False,9,8,0.29936,0.43333,0.29936,0.29936,0.29936,2.24913,0.14243,0.63415,0.34636,0.3326,0.85805,0.43635,12.48863
Label Propagation,False,9,9,0.29936,0.43333,0.29936,0.29936,0.29936,2.24913,0.14243,0.63415,0.34636,0.3326,0.85805,0.43635,12.47846
Greedy Modularity,False,3,0,0.21026,0.44679,0.21026,0.21026,0.21026,1.6075,0.19466,0.54445,0.34091,0.34686,0.89482,0.42375,11.51168
Greedy Modularity,False,3,1,0.21026,0.44679,0.21026,0.21026,0.21026,1.6075,0.19466,0.54445,0.34091,0.34686,0.89482,0.42375,11.55565
Greedy Modularity,False,3,2,0.21026,0.44679,0.21026,0.21026,0.21026,1.6075,0.19466,0.54445,0.34091,0.34686,0.89482,0.42375,11.56749
Greedy Modularity,False,3,3,0.21026,0.44679,0.21026,0.21026,0.21026,1.6075,0.19466,0.54445,0.34091,0.34686,0.89482,0.42375,11.61354
Greedy Modularity,False,3,4,0.21026,0.44679,0.21026,0.21026,0.21026,1.6075,0.19466,0.54445,0.34091,0.34686,0.89482,0.42375,11.5931
Greedy Modularity,False,3,5,0.21026,0.44679,0.21026,0.21026,0.21026,1.6075,0.19466,0.54445,0.34091,0.34686,0.89482,0.42375,11.53241
Greedy Modularity,False,3,6,0.21026,0.44679,0.21026,0.21026,0.21026,1.6075,0.19466,0.54445,0.34091,0.34686,0.89482,0.42375,11.55258
Greedy Modularity,False,3,7,0.21026,0.44679,0.21026,0.21026,0.21026,1.6075,0.19466,0.54445,0.34091,0.34686,0.89482,0.42375,11.62551
Greedy Modularity,False,3,8,0.21026,0.44679,0.21026,0.21026,0.21026,1.6075,0.19466,0.54445,0.34091,0.34686,0.89482,0.42375,11.64354
Greedy Modularity,False,3,9,0.21026,0.44679,0.21026,0.21026,0.21026,1.6075,0.19466,0.54445,0.34091,0.34686,0.89482,0.42375,11.60826
Greedy Modularity,True,3,0,0.16474,0.45577,0.16474,0.16474,0.16474,1.89699,0.18297,0.63347,0.38035,0.33172,0.85577,0.43542,12.84677
Greedy Modularity,True,3,1,0.16474,0.45577,0.16474,0.16474,0.16474,1.89699,0.18297,0.63347,0.38035,0.33172,0.85577,0.43542,12.73865
Greedy Modularity,True,3,2,0.16474,0.45577,0.16474,0.16474,0.16474,1.89699,0.18297,0.63347,0.38035,0.33172,0.85577,0.43542,12.72368
Greedy Modularity,True,3,3,0.16474,0.45577,0.16474,0.16474,0.16474,1.89699,0.18297,0.63347,0.38035,0.33172,0.85577,0.43542,12.73282
Greedy Modularity,True,3,4,0.16474,0.45577,0.16474,0.16474,0.16474,1.89699,0.18297,0.63347,0.38035,0.33172,0.85577,0.43542,13.68254
Greedy Modularity,True,3,5,0.16474,0.45577,0.16474,0.16474,0.16474,1.89699,0.18297,0.63347,0.38035,0.33172,0.85577,0.43542,13.49902
Greedy Modularity,True,3,6,0.16474,0.45577,0.16474,0.16474,0.16474,1.89699,0.18297,0.63347,0.38035,0.33172,0.85577,0.43542,12.76182
Greedy Modularity,True,3,7,0.16474,0.45577,0.16474,0.16474,0.16474,1.89699,0.18297,0.63347,0.38035,0.33172,0.85577,0.43542,13.81431
Greedy Modularity,True,3,8,0.16474,0.45577,0.16474,0.16474,0.16474,1.89699,0.18297,0.63347,0.38035,0.33172,0.85577,0.43542,13.27199
Greedy Modularity,True,3,9,0.16474,0.45577,0.16474,0.16474,0.16474,1.89699,0.18297,0.63347,0.38035,0.33172,0.85577,0.43542,12.68314
